brand_id,brand_name,series_name,车辆主表series_id,销量表原series_id,统一后series_id,销量数据来源,销量表车系名,核对状态,处理说明,pcauto_id语义,has_sales_data
17.0,哈弗,哈弗大狗PLUS,6149,sg29215,6149,pcauto,哈弗大狗PLUS,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg29215,True
425.0,坦克,坦克300,4615,sg26541,4615,pcauto,坦克300,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg26541,True
425.0,坦克,坦克400,5312,sg27956,5312,pcauto,坦克400,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg27956,True
425.0,坦克,坦克500,5238,sg27834,5238,pcauto,坦克500,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg27834,True
242.0,埃安,AION LX,3503,sg24567,3503,pcauto,AION LX,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg24567,True
242.0,埃安,AION N60,25878,sg31115,25878,pcauto,AION N60,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg31115,True
242.0,埃安,AION RT,24800,sg30604,24800,pcauto,AION RT,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30604,True
242.0,埃安,AION S,3101,sg23867,3101,pcauto,AION S,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg23867,True
242.0,埃安,AION UT,25014,sg30636,25014,pcauto,AION UT,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30636,True
242.0,埃安,AION V,4426,sg26013,4426,pcauto,AION V,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg26013,True
242.0,埃安,AION Y,4814,sg27081,4814,pcauto,AION Y,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg27081,True
242.0,埃安,AION i60,25643,sg30956,25643,pcauto,AION i60,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30956,True
10433.0,埃尚,埃尚,25720,sg30990,25720,pcauto,埃尚,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30990,True
1.0,大众,ID. ERA 9X,25395,sg30835,25395,pcauto,ID.ERA 9X,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg30835,False
1.0,大众,ID.4 CROZZ,4586,sg25600,4586,pcauto,ID.4 CROZZ,已统一,训练用销量 series_id 已统一为车辆主表 series_id；原值保留在 source_series_id,pcauto_series_id:sg25600,True
