series_name,source_series_id,anchor_month,source_url,http_status,fetched_at,cache_path,content_sha256,error,fetch_status,source_series_name,identity_match,parsed_months,parse_error
五菱宏光,sg4613,2025-12-01,https://price.pcauto.com.cn/salescar/sg4613/y2025-m12/,200,2026-08-28T23:34:05+08:00,data/raw/pcauto_sales_recrawl/sg4613/y2025-m12.html,2e7e2bad56428010b7ceb4073429feaf9101e941e2953f2c4719f27cc28e4051,,cached,五菱宏光,True,6,
五菱宏光,sg4613,2026-06-01,https://price.pcauto.com.cn/salescar/sg4613/y2026-m6/,200,2026-08-28T23:34:06+08:00,data/raw/pcauto_sales_recrawl/sg4613/y2026-m6.html,67f3b27f068d2704e651871664dea8c454d7eb7ef4375bc77c5ff7ecd15fd554,,cached,五菱宏光,True,6,
五菱宏光S,sg9604,2022-06-01,https://price.pcauto.com.cn/salescar/sg9604/y2022-m6/,200,2026-08-28T23:34:08+08:00,data/raw/pcauto_sales_recrawl/sg9604/y2022-m6.html,c28d82afbd719fef82659058a0d60288fe31e8e67e839069183afd6a6758d75a,,cached,五菱宏光S,True,6,
五菱宏光S,sg9604,2022-12-01,https://price.pcauto.com.cn/salescar/sg9604/y2022-m12/,200,2026-08-28T23:34:09+08:00,data/raw/pcauto_sales_recrawl/sg9604/y2022-m12.html,1755a2c446ea511851185328e962f40c847228b50347efc3d43bf113d6a42f24,,cached,五菱宏光S,True,6,
五菱宏光S,sg9604,2023-06-01,https://price.pcauto.com.cn/salescar/sg9604/y2023-m6/,200,2026-08-28T23:34:11+08:00,data/raw/pcauto_sales_recrawl/sg9604/y2023-m6.html,cb53bb76a7a8cc540f50a7ce2e57b1364af13e331255d81db4ce5705cc14d8e5,,cached,五菱宏光S,True,6,
五菱宏光S,sg9604,2023-12-01,https://price.pcauto.com.cn/salescar/sg9604/y2023-m12/,200,2026-08-28T23:34:12+08:00,data/raw/pcauto_sales_recrawl/sg9604/y2023-m12.html,7500a0e8933c071c90f9455d763dc8033402e29d34c949195aed5d8b2f06d446,,cached,五菱宏光S,True,6,
五菱宏光S,sg9604,2024-06-01,https://price.pcauto.com.cn/salescar/sg9604/y2024-m6/,200,2026-08-28T23:34:14+08:00,data/raw/pcauto_sales_recrawl/sg9604/y2024-m6.html,bc073050b266326c2f43b4f090d65225cf2ce11acc36eea02746ab92b91d9aa8,,cached,五菱宏光S,True,6,
五菱宏光S,sg9604,2024-12-01,https://price.pcauto.com.cn/salescar/sg9604/y2024-m12/,200,2026-08-28T23:34:16+08:00,data/raw/pcauto_sales_recrawl/sg9604/y2024-m12.html,7379c32d232662863e8fb5bec9449bb89ebd04de39e4fcfe5c02f2d2308a1291,,cached,五菱宏光S,True,6,
五菱宏光S,sg9604,2025-06-01,https://price.pcauto.com.cn/salescar/sg9604/y2025-m6/,200,2026-08-28T23:34:18+08:00,data/raw/pcauto_sales_recrawl/sg9604/y2025-m6.html,cb7a30ca2c851f3d8cc066353351219cb0845b5e6f506b29de07b3fd056f364a,,cached,五菱宏光S,True,6,
五菱宏光S,sg9604,2025-12-01,https://price.pcauto.com.cn/salescar/sg9604/y2025-m12/,200,2026-08-28T23:34:20+08:00,data/raw/pcauto_sales_recrawl/sg9604/y2025-m12.html,993074ee21aab1e791b5819804ca24fc75e763eabf1bbbf8d6533d396473c020,,cached,五菱宏光S,True,6,
五菱宏光S,sg9604,2026-06-01,https://price.pcauto.com.cn/salescar/sg9604/y2026-m6/,200,2026-08-28T23:34:22+08:00,data/raw/pcauto_sales_recrawl/sg9604/y2026-m6.html,dfcb5cca3e69ad0ee93ce211bb82a3ea6983c0a27f7da686001383fc6eb206dc,,cached,五菱宏光S,True,6,
电动MINI ACEMAN,sg30388,2022-06-01,https://price.pcauto.com.cn/salescar/sg30388/y2022-m6/,200,2026-08-28T23:34:24+08:00,data/raw/pcauto_sales_recrawl/sg30388/y2022-m6.html,2ae26588250e7cda8fecfcbdd6fe79d88df6f6af2cb52e0ca7f1eae254658be5,,cached,电动MINI ACEMAN,True,6,
电动MINI ACEMAN,sg30388,2022-12-01,https://price.pcauto.com.cn/salescar/sg30388/y2022-m12/,200,2026-08-28T23:34:26+08:00,data/raw/pcauto_sales_recrawl/sg30388/y2022-m12.html,0db4b96fd621f145fb94de3f85caaf4b4c165f94a0f64ae7d0cf7cf2711a72f2,,cached,电动MINI ACEMAN,True,6,
电动MINI ACEMAN,sg30388,2023-06-01,https://price.pcauto.com.cn/salescar/sg30388/y2023-m6/,200,2026-08-28T23:34:28+08:00,data/raw/pcauto_sales_recrawl/sg30388/y2023-m6.html,f20ffef7ef09905dd80d780507af108110cbc49fa3661fb512e0411e9ef90b53,,cached,电动MINI ACEMAN,True,6,
电动MINI ACEMAN,sg30388,2023-12-01,https://price.pcauto.com.cn/salescar/sg30388/y2023-m12/,200,2026-08-28T23:34:29+08:00,data/raw/pcauto_sales_recrawl/sg30388/y2023-m12.html,858727e2738383bd3c975f7713c03969269ef8b8d02315661333f4a6ea37e865,,cached,电动MINI ACEMAN,True,6,
电动MINI ACEMAN,sg30388,2024-06-01,https://price.pcauto.com.cn/salescar/sg30388/y2024-m6/,200,2026-08-28T23:34:31+08:00,data/raw/pcauto_sales_recrawl/sg30388/y2024-m6.html,b885a189f4f3378c887f09f5e4d13bf64c7b17a39635fbdaae6e354815a8650e,,cached,电动MINI ACEMAN,True,6,
电动MINI ACEMAN,sg30388,2024-12-01,https://price.pcauto.com.cn/salescar/sg30388/y2024-m12/,200,2026-08-28T23:34:33+08:00,data/raw/pcauto_sales_recrawl/sg30388/y2024-m12.html,09476f258a13e4c45f258761057906eca3c9fa0ada9b56bea53ff6589d4c8bad,,cached,电动MINI ACEMAN,True,6,
电动MINI ACEMAN,sg30388,2025-06-01,https://price.pcauto.com.cn/salescar/sg30388/y2025-m6/,200,2026-08-28T23:34:34+08:00,data/raw/pcauto_sales_recrawl/sg30388/y2025-m6.html,f76372c7a0593c5b667eb55ee1f6c7ff48a032d45ca1000586cadc9cda8b1fd4,,cached,电动MINI ACEMAN,True,6,
电动MINI ACEMAN,sg30388,2025-12-01,https://price.pcauto.com.cn/salescar/sg30388/y2025-m12/,200,2026-08-28T23:34:36+08:00,data/raw/pcauto_sales_recrawl/sg30388/y2025-m12.html,3971c974ea5fed9a7dc696b0115464499852c63825fc9d19d9528456618f86e9,,cached,电动MINI ACEMAN,True,6,
