role,series_name,expected_source_name,expected_identity_text,source_name,source_url,mapping_status,fetched_at,returned_source_name,date,source_sales,current_sales,difference,comparison
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T11:00:56+08:00,Model Y,2024-09-01,48202,48202.0,0.0,exact
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T11:00:56+08:00,Model Y,2024-10-01,36204,36204.0,0.0,exact
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T11:00:56+08:00,Model Y,2024-11-01,44576,44576.0,0.0,exact
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T11:00:56+08:00,Model Y,2024-12-01,61881,61881.0,0.0,exact
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T11:00:56+08:00,Model Y,2025-01-01,25694,25694.0,0.0,exact
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T11:00:56+08:00,Model Y,2025-02-01,8006,8006.0,0.0,exact
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T11:00:56+08:00,Model Y,2025-03-01,48189,48189.0,0.0,exact
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T11:00:56+08:00,Model Y,2025-04-01,19984,19984.0,0.0,exact
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T11:00:56+08:00,Model Y,2025-05-01,24770,24770.0,0.0,exact
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T11:00:56+08:00,Model Y,2025-06-01,44848,44848.0,0.0,exact
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T11:00:56+08:00,Model Y,2025-07-01,30766,30766.0,0.0,exact
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T11:00:56+08:00,Model Y,2025-08-01,39413,39413.0,0.0,exact
calibration,Model Y,Model Y,特斯拉,车主手册,https://www.icauto.com.cn/rank/car_1692.html,mapped,2026-08-29T11:00:56+08:00,Model Y,2025-09-01,51173,51173.0,0.0,exact
