role,series_name,expected_source_name,expected_identity_text,source_name,source_url,mapping_status,fetched_at,returned_source_name,date,source_sales
target,长安CS55PLUS,长安CS55 PLUS,长安,车主手册,https://www.icauto.com.cn/rank/car_1432.html,mapped,2026-08-29T15:42:55+08:00,长安CS55 PLUS,2024-04-01,3666
target,长安CS55PLUS,长安CS55 PLUS,长安,车主手册,https://www.icauto.com.cn/rank/car_1432.html,mapped,2026-08-29T15:42:55+08:00,长安CS55 PLUS,2024-05-01,3894
target,长安CS55PLUS,长安CS55 PLUS,长安,车主手册,https://www.icauto.com.cn/rank/car_1432.html,mapped,2026-08-29T15:42:55+08:00,长安CS55 PLUS,2024-06-01,2988
target,长安CS55PLUS,长安CS55 PLUS,长安,车主手册,https://www.icauto.com.cn/rank/car_1432.html,mapped,2026-08-29T15:42:55+08:00,长安CS55 PLUS,2024-07-01,3281
target,长安CS55PLUS,长安CS55 PLUS,长安,车主手册,https://www.icauto.com.cn/rank/car_1432.html,mapped,2026-08-29T15:42:55+08:00,长安CS55 PLUS,2024-08-01,3442
target,长安CS55PLUS,长安CS55 PLUS,长安,车主手册,https://www.icauto.com.cn/rank/car_1432.html,mapped,2026-08-29T15:42:55+08:00,长安CS55 PLUS,2024-09-01,3412
target,长安CS55PLUS,长安CS55 PLUS,长安,车主手册,https://www.icauto.com.cn/rank/car_1432.html,mapped,2026-08-29T15:42:55+08:00,长安CS55 PLUS,2024-10-01,4066
target,长安CS55PLUS,长安CS55 PLUS,长安,车主手册,https://www.icauto.com.cn/rank/car_1432.html,mapped,2026-08-29T15:42:55+08:00,长安CS55 PLUS,2024-11-01,5697
target,长安CS55PLUS,长安CS55 PLUS,长安,车主手册,https://www.icauto.com.cn/rank/car_1432.html,mapped,2026-08-29T15:42:55+08:00,长安CS55 PLUS,2024-12-01,6641
target,长安CS55PLUS,长安CS55 PLUS,长安,车主手册,https://www.icauto.com.cn/rank/car_1432.html,mapped,2026-08-29T15:42:55+08:00,长安CS55 PLUS,2023-01-01,0
target,长安CS55PLUS,长安CS55 PLUS,长安,车主手册,https://www.icauto.com.cn/rank/car_1432.html,mapped,2026-08-29T15:42:55+08:00,长安CS55 PLUS,2023-02-01,0
target,长安CS55PLUS,长安CS55 PLUS,长安,车主手册,https://www.icauto.com.cn/rank/car_1432.html,mapped,2026-08-29T15:42:55+08:00,长安CS55 PLUS,2023-03-01,0
target,长安CS55PLUS,长安CS55 PLUS,长安,车主手册,https://www.icauto.com.cn/rank/car_1432.html,mapped,2026-08-29T15:42:55+08:00,长安CS55 PLUS,2023-04-01,0
target,长安CS55PLUS,长安CS55 PLUS,长安,车主手册,https://www.icauto.com.cn/rank/car_1432.html,mapped,2026-08-29T15:42:55+08:00,长安CS55 PLUS,2023-05-01,0
target,长安CS55PLUS,长安CS55 PLUS,长安,车主手册,https://www.icauto.com.cn/rank/car_1432.html,mapped,2026-08-29T15:42:55+08:00,长安CS55 PLUS,2023-06-01,0
target,长安CS55PLUS,长安CS55 PLUS,长安,车主手册,https://www.icauto.com.cn/rank/car_1432.html,mapped,2026-08-29T15:42:55+08:00,长安CS55 PLUS,2023-07-01,0
target,长安CS55PLUS,长安CS55 PLUS,长安,车主手册,https://www.icauto.com.cn/rank/car_1432.html,mapped,2026-08-29T15:42:55+08:00,长安CS55 PLUS,2023-08-01,7368
target,长安CS55PLUS,长安CS55 PLUS,长安,车主手册,https://www.icauto.com.cn/rank/car_1432.html,mapped,2026-08-29T15:42:55+08:00,长安CS55 PLUS,2023-09-01,8312
target,长安CS55PLUS,长安CS55 PLUS,长安,车主手册,https://www.icauto.com.cn/rank/car_1432.html,mapped,2026-08-29T15:42:55+08:00,长安CS55 PLUS,2023-10-01,8374
target,长安CS55PLUS,长安CS55 PLUS,长安,车主手册,https://www.icauto.com.cn/rank/car_1432.html,mapped,2026-08-29T15:42:55+08:00,长安CS55 PLUS,2023-11-01,7185
target,长安CS55PLUS,长安CS55 PLUS,长安,车主手册,https://www.icauto.com.cn/rank/car_1432.html,mapped,2026-08-29T15:42:55+08:00,长安CS55 PLUS,2023-12-01,7029
target,捷途山海L9,捷途山海L9,捷途,车主手册,https://www.icauto.com.cn/rank/car_3495.html,mapped,2026-08-29T15:42:55+08:00,捷途山海L9,2025-01-01,155
target,捷途山海L9,捷途山海L9,捷途,车主手册,https://www.icauto.com.cn/rank/car_3495.html,mapped,2026-08-29T15:42:55+08:00,捷途山海L9,2025-02-01,53
target,捷途山海L9,捷途山海L9,捷途,车主手册,https://www.icauto.com.cn/rank/car_3495.html,mapped,2026-08-29T15:42:55+08:00,捷途山海L9,2025-03-01,906
target,捷途山海L9,捷途山海L9,捷途,车主手册,https://www.icauto.com.cn/rank/car_3495.html,mapped,2026-08-29T15:42:55+08:00,捷途山海L9,2025-04-01,720
target,捷途山海L9,捷途山海L9,捷途,车主手册,https://www.icauto.com.cn/rank/car_3495.html,mapped,2026-08-29T15:42:55+08:00,捷途山海L9,2025-05-01,620
target,捷途山海L9,捷途山海L9,捷途,车主手册,https://www.icauto.com.cn/rank/car_3495.html,mapped,2026-08-29T15:42:55+08:00,捷途山海L9,2025-06-01,529
target,捷途山海L9,捷途山海L9,捷途,车主手册,https://www.icauto.com.cn/rank/car_3495.html,mapped,2026-08-29T15:42:55+08:00,捷途山海L9,2025-07-01,318
target,捷途山海L9,捷途山海L9,捷途,车主手册,https://www.icauto.com.cn/rank/car_3495.html,mapped,2026-08-29T15:42:55+08:00,捷途山海L9,2025-08-01,156
target,捷途山海L9,捷途山海L9,捷途,车主手册,https://www.icauto.com.cn/rank/car_3495.html,mapped,2026-08-29T15:42:55+08:00,捷途山海L9,2025-09-01,190
target,捷途山海L9,捷途山海L9,捷途,车主手册,https://www.icauto.com.cn/rank/car_3495.html,mapped,2026-08-29T15:42:55+08:00,捷途山海L9,2025-10-01,60
target,捷途山海L9,捷途山海L9,捷途,车主手册,https://www.icauto.com.cn/rank/car_3495.html,mapped,2026-08-29T15:42:55+08:00,捷途山海L9,2025-11-01,49
target,捷途山海L9,捷途山海L9,捷途,车主手册,https://www.icauto.com.cn/rank/car_3495.html,mapped,2026-08-29T15:42:55+08:00,捷途山海L9,2025-12-01,86
target,捷途山海L9,捷途山海L9,捷途,车主手册,https://www.icauto.com.cn/rank/car_3495.html,mapped,2026-08-29T15:42:55+08:00,捷途山海L9,2024-01-01,1899
target,捷途山海L9,捷途山海L9,捷途,车主手册,https://www.icauto.com.cn/rank/car_3495.html,mapped,2026-08-29T15:42:55+08:00,捷途山海L9,2024-02-01,510
target,捷途山海L9,捷途山海L9,捷途,车主手册,https://www.icauto.com.cn/rank/car_3495.html,mapped,2026-08-29T15:42:55+08:00,捷途山海L9,2024-03-01,729
target,捷途山海L9,捷途山海L9,捷途,车主手册,https://www.icauto.com.cn/rank/car_3495.html,mapped,2026-08-29T15:42:55+08:00,捷途山海L9,2024-04-01,502
target,捷途山海L9,捷途山海L9,捷途,车主手册,https://www.icauto.com.cn/rank/car_3495.html,mapped,2026-08-29T15:42:55+08:00,捷途山海L9,2024-05-01,920
target,捷途山海L9,捷途山海L9,捷途,车主手册,https://www.icauto.com.cn/rank/car_3495.html,mapped,2026-08-29T15:42:55+08:00,捷途山海L9,2024-06-01,990
