series_name,date,sentiment_review_count_prior_all,sentiment_review_count_180d,sentiment_available_prior,sentiment_available_180d,platform_rating_overall_sentiment_180d_mean,platform_rating_overall_polarity_180d_mean,text_global_polarity_180d_mean,platform_rating_appearance_sentiment_180d_mean,text_appearance_polarity_180d_mean,platform_rating_interior_sentiment_180d_mean,text_interior_polarity_180d_mean,platform_rating_space_sentiment_180d_mean,text_space_polarity_180d_mean,platform_rating_power_sentiment_180d_mean,text_power_polarity_180d_mean,platform_rating_control_sentiment_180d_mean,text_control_polarity_180d_mean,platform_rating_comfort_sentiment_180d_mean,text_comfort_polarity_180d_mean,platform_rating_fuel_consumption_sentiment_180d_mean,text_fuel_consumption_polarity_180d_mean,platform_rating_configuration_sentiment_180d_mean,text_configuration_polarity_180d_mean,platform_rating_intelligence_sentiment_180d_mean,text_intelligence_polarity_180d_mean,platform_rating_value_sentiment_180d_mean,text_value_polarity_180d_mean,text_appearance_mentioned_180d_count,text_interior_mentioned_180d_count,text_space_mentioned_180d_count,text_power_mentioned_180d_count,text_control_mentioned_180d_count,text_comfort_mentioned_180d_count,text_fuel_consumption_mentioned_180d_count,text_configuration_mentioned_180d_count,text_intelligence_mentioned_180d_count,text_value_mentioned_180d_count
奔驰E级,2022-04-01,43,18,1,1,0.675,0.3333333333333333,-0.05555555555555555,0.7638888888888888,0.5384615384615384,0.8888888888888888,0.4,0.8333333333333334,0.35294117647058826,0.4642857142857143,-0.06666666666666667,0.42857142857142855,-0.0625,0.7857142857142857,0.11764705882352941,,-0.2222222222222222,0.4444444444444444,0.0,,0.0,,0.17647058823529413,13,15,17,15,16,17,9,13,9,17
奔驰GLB,2022-04-01,33,16,1,1,0.61875,0.3125,-0.75,0.8125,0.5714285714285714,0.921875,0.4666666666666667,0.546875,0.125,0.3333333333333333,-0.3125,0.6666666666666666,0.1111111111111111,0.6111111111111112,-0.13333333333333333,,-0.25,0.5,-0.21428571428571427,,0.4,,0.5,14,15,16,16,9,15,12,14,10,14
奔驰GLC,2022-04-01,42,14,1,1,0.6321428571428571,0.21428571428571427,0.14285714285714285,0.7678571428571429,0.4444444444444444,0.8214285714285714,0.16666666666666666,0.75,0.5714285714285714,0.5357142857142857,0.23076923076923078,0.5,-0.23076923076923078,0.5,0.16666666666666666,,-0.1111111111111111,0.5178571428571429,0.3333333333333333,,-0.25,,0.38461538461538464,9,12,14,13,13,12,9,9,4,13
奔驰V级,2022-04-01,43,11,1,1,0.5318181818181817,-0.09090909090909091,0.18181818181818182,0.7727272727272727,0.4,0.6363636363636364,0.75,0.8863636363636364,0.5,0.59375,0.375,0.15625,0.6,0.3125,0.5,,-0.5,0.4090909090909091,0.2857142857142857,,0.0,,0.0,5,4,10,8,5,10,4,7,3,4
奕炫,2022-04-01,59,15,1,1,0.32999999999999996,-0.26666666666666666,-0.06666666666666667,0.6166666666666667,0.38461538461538464,0.43333333333333335,0.3,0.18333333333333332,-0.5,0.3888888888888889,0.07142857142857142,0.3888888888888889,0.0,0.25,-0.16666666666666666,,0.16666666666666666,0.26666666666666666,0.0,,-0.6666666666666666,,0.6,13,10,12,14,11,12,12,9,12,10
奥德赛,2022-04-01,56,24,1,1,0.5375,0.041666666666666664,0.20833333333333334,0.6354166666666666,0.45,0.3958333333333333,0.0,0.7291666666666666,0.09090909090909091,0.4411764705882353,0.19047619047619047,0.45588235294117646,-0.1875,0.5735294117647058,0.3181818181818182,,0.0,0.34375,0.05,,-0.23076923076923078,,0.26666666666666666,20,17,22,21,16,22,20,20,13,15
奥迪A3,2022-04-01,30,9,1,1,0.4333333333333333,-0.1111111111111111,-0.3333333333333333,0.8888888888888888,0.42857142857142855,0.7222222222222222,0.14285714285714285,0.1111111111111111,-0.2857142857142857,0.5,0.0,0.4166666666666667,0.0,0.2916666666666667,-0.5714285714285714,,-0.16666666666666666,0.19444444444444445,-0.8333333333333334,,-0.3333333333333333,,-0.14285714285714285,7,7,7,9,7,7,6,6,3,7
奥迪A4L,2022-04-01,47,21,1,1,0.6238095238095238,0.14285714285714285,-0.42857142857142855,0.8333333333333334,0.1111111111111111,0.5119047619047619,0.16666666666666666,0.5833333333333334,0.15,0.75,0.21052631578947367,0.825,0.05555555555555555,0.35,0.09523809523809523,,-0.2777777777777778,0.4880952380952381,0.13333333333333333,,-0.1875,,0.09523809523809523,18,18,20,19,18,21,18,15,16,21
奥迪A7L,2022-04-01,4,4,1,1,0.6749999999999999,0.25,0.5,0.75,0.75,0.5625,0.0,0.6875,1.0,0.75,1.0,0.5833333333333334,0.25,0.5833333333333334,1.0,,-1.0,0.6875,0.0,,-0.5,,0.6666666666666666,4,2,1,4,4,4,1,2,2,3
奥迪Q2L,2022-04-01,88,12,1,1,0.37083333333333335,-0.16666666666666666,-0.16666666666666666,0.7083333333333334,0.18181818181818182,0.1875,0.0,0.22916666666666666,0.2,0.3611111111111111,0.08333333333333333,0.3333333333333333,0.0,0.3055555555555556,-0.09090909090909091,,-0.5555555555555556,0.3125,0.0,,-1.0,,0.5,11,11,10,12,7,11,9,7,1,6
