MAE,RMSE,MAPE,WMAPE,series_name,order,status
6347.833333333333,6472.841403381774,269.72815927363547,210.8097636574971,格瑞维亚,"(0, 1, 0)",ok
257.2077784769731,265.22960553817074,143.27267788982564,94.15782006478575,五菱佳辰,"(0, 1, 1)",ok
1097.873165795285,1317.6811272033528,44.947528341280815,33.517727546795456,别克GL8,"(0, 1, 1)",ok
10.855419288301638,11.048183115202855,734.8057303312203,651.3251572980982,焕驰,"(0, 1, 1)",ok
2.207821596496745,2.311657052565148,61.36244815798785,50.949729149924885,红旗国耀,"(0, 1, 2)",ok
1104.7105850661248,1280.785071935544,233.1626975252095,114.85467874539508,沃尔沃S90,"(0, 1, 1)",ok
67.0010976841387,74.60140656833738,92.46913121349904,74.72241377413238,凯迪拉克XT6,"(1, 1, 1)",ok
1828.9042279361274,2712.932789570057,83.13742251575765,63.507294216197494,汉,"(2, 1, 2)",ok
0.0,0.0,,,Model Y,"(1, 1, 0)",ok
334.2838745089261,380.4727687450897,69.74833268001484,52.83728258834448,e爱丽舍,"(1, 1, 1)",ok
316.4240327595844,372.0628522713802,41.30001366607108,34.7019593594865,菱智,"(1, 1, 1)",ok
1684.6666666666667,2138.0660264204503,40.35971889606905,31.646837820914214,岚图梦想家,"(0, 1, 0)",ok
1293.9498045846813,1301.903427398108,2820.848899845413,221.8199665002311,帕萨特新能源,"(0, 1, 1)",ok
983.0158790852958,1162.240173478303,26.03423773497932,20.183749485017366,传祺M8,"(1, 1, 2)",ok
3734.6666666666665,4015.1492707826774,98.59554471230324,79.38779848366754,腾势D9,"(0, 1, 0)",ok
627.0,652.104797303828,108.43158215951448,93.8622754491018,蔚来ET5,"(0, 1, 0)",ok
285.9941216024029,388.84859702811445,70.25885988444757,36.07241390822825,欧拉好猫,"(2, 1, 2)",ok
2135.493391289368,2283.375964304986,49.44440072721121,42.52135647873165,宝马X5,"(0, 1, 1)",ok
1.1626978874659397e-195,0.0,,,卡罗拉双擎E+,"(1, 1, 0)",ok
218.5,238.1410646374679,1774.6597006141296,83.23809523809523,深蓝SL03,"(0, 1, 0)",ok
214.32976016534926,215.29586684445687,1527.7182399168676,905.6187049240109,沃尔沃S90新能源,"(1, 1, 1)",ok
10.439386765876813,10.48628484560536,852.4108840149994,1043.9386765876814,护卫舰07,"(1, 1, 0)",ok
10.787370329014072,10.793805978624132,995.4036995680738,6472.422197408443,ID.6 CROZZ,"(0, 1, 1)",ok
41.5,50.01166530587305,1589.2291562358441,74.77477477477478,铂智4X,"(0, 1, 0)",ok
895.8066764185088,940.9127609604395,105.49111893012231,91.4399465551387,奥德赛,"(0, 1, 1)",ok
