series_name,actual_volume,cold_start,has_prior_review,has_recent_180d_review,absolute_error_BASE,absolute_error_LOCAL_LEXICON_FIXED,series_WMAPE_BASE,series_WMAPE_LOCAL_LEXICON_FIXED,brand,category,WMAPE_improvement_pp,absolute_error_reduction,share_of_best_total_absolute_error,history_group,sentiment_coverage_group,actual_volume_quartile
秦PLUS,68369.0,False,1,1,82656.17578125,77826.1640625,120.897154823458,113.83253237944098,比亚迪,轿车,7.064622444017019,4830.01171875,0.03756273817607301,historical,recent_180d,Q4_high
小米SU7,80496.0,False,1,1,62916.4990234375,62998.46142578125,78.16102542168244,78.26284713002045,小米汽车,轿车,-0.10182170833800797,-81.96240234375,0.030406158912466397,historical,recent_180d,Q4_high
轩逸,95129.0,False,1,1,31476.7841796875,42189.146484375,33.08852629554342,44.349406053227725,日产,轿车,-11.260879757684307,-10712.3623046875,0.020362559074502365,historical,recent_180d,Q4_high
宏光MINIEV,72799.0,False,1,1,50989.298828125,40684.16796875,70.04120774753088,55.88561377045015,五菱,轿车,14.155593977080727,10305.130859375,0.0196361823524319,historical,recent_180d,Q4_high
驱逐舰05,4388.0,False,1,1,35671.62158203125,38955.7314453125,812.9357698730914,887.778747614232,比亚迪,轿车,-74.84297774114054,-3284.10986328125,0.018801953794903285,historical,recent_180d,Q3
元UP,82670.0,False,1,1,32090.318359375,36490.103515625,38.81736828278093,44.13947443525463,比亚迪,SUV,-5.322106152473694,-4399.78515625,0.017611920372620167,historical,recent_180d,Q4_high
Model Y,172513.0,False,1,1,25478.91796875,35499.212890625,14.769274181510958,20.5777030662182,特斯拉,SUV,-5.80842888470724,-10020.294921875,0.017133667775227474,historical,recent_180d,Q4_high
海鸥,55105.0,False,1,1,37129.7001953125,32707.57421875,67.37991143328645,59.35500266536612,比亚迪,轿车,8.02490876792033,4422.1259765625,0.015786285519182715,historical,recent_180d,Q4_high
雅阁,40401.0,False,1,1,37125.287109375,32287.8759765625,91.8920004687384,79.91850690963713,本田,轿车,11.973493559101271,4837.4111328125,0.01558371848566444,historical,recent_180d,Q4_high
MG4,70753.0,False,1,1,24848.64697265625,30580.8193359375,35.120273306653075,43.221940180540045,MG名爵,轿车,-8.10166687388697,-5732.17236328125,0.014759808912117565,historical,recent_180d,Q4_high
速腾,84591.0,False,1,1,29269.1611328125,27562.4306640625,34.60079811423496,32.58317157151765,大众,轿车,2.0176265427173092,1706.73046875,0.013302985943119454,historical,recent_180d,Q4_high
Model 3,66442.0,False,1,1,33250.5859375,26254.9677734375,50.04452896887511,39.51561929718777,特斯拉,轿车,10.528909671687344,6995.6181640625,0.012671939985412503,historical,recent_180d,Q4_high
长安Lumin,11826.0,False,1,1,23727.37109375,26078.87255859375,200.63733378784033,220.52149973443048,长安启源,轿车,-19.884165946590144,-2351.50146484375,0.01258694776552199,historical,recent_180d,Q3
海狮06EV,63270.0,False,1,1,24335.0068359375,25840.1787109375,38.46215716127311,40.84112329846294,比亚迪,SUV,-2.3789661371898276,-1505.171875,0.012471742363691434,historical,recent_180d,Q4_high
星越L,77254.0,False,1,1,26865.857421875,24849.9658203125,34.77600826089911,32.16657496092436,吉利汽车,SUV,2.6094332999747536,2015.8916015625,0.011993816874273134,historical,recent_180d,Q4_high
长安CS75 PLUS,72962.0,False,1,1,25715.96142578125,24599.41064453125,35.245691491161494,33.71537326900476,长安,SUV,1.5303182221567369,1116.55078125,0.011872886611553607,historical,recent_180d,Q4_high
