MAE,RMSE,MAPE,WMAPE,version,series_name,test_months,actual_volume
78.70370992024739,82.88272430057083,51.22795055977386,48.185944849131054,BASE,大通G10,6,980.0
69.55607096354167,89.79959735418446,38.391004114389865,27.36632300204918,BASE,大通G50,6,1525.0
2409.0450032552085,2814.52048326434,42.62072174717073,35.26033717837497,BASE,奔驰C级,6,40993.0
3339.8257649739585,3917.619697217852,30.38492052055743,32.73001974658023,BASE,奔驰E级,6,61225.0
892.2274373372396,1148.6959035575894,503.3963750663159,87.99087153227215,BASE,奔驰GLB,6,6084.0
2625.0399576822915,3405.0713431944564,26.522864616595772,29.979328370660202,BASE,奔驰GLC,6,52537.0
447.3209228515625,449.2849254359187,171.28634768814538,159.2834146652448,BASE,奔驰V级,6,1685.0
195.90804036458334,249.8974397794216,18.865724596116703,19.997418206660427,BASE,奥德赛,6,5878.0
1927.2146402994792,2286.7155862339423,31.36081164187906,33.659218262202,BASE,奥迪A3,6,34354.0
1675.8013509114583,1956.055771356936,15.837379872355204,16.9692810582903,BASE,奥迪A6L,6,59253.0
255.593017578125,260.1020198084606,81.92122223364787,65.95948840725806,BASE,奥迪A7L,6,2325.0
821.7522786458334,971.6003096416313,29.87891923714355,32.76088818521595,BASE,奥迪Q3,6,15050.0
188.1069653828939,192.62487848678194,,,BASE,奥迪Q5 e-tron,6,0.0
1383.98779296875,2102.975540267983,13.373534419721489,16.16713735142515,BASE,奥迪Q5L,6,51363.0
4276.7681884765625,5124.842506908882,52.36775198011742,59.0265432127053,BASE,威兰达,6,43473.0
513.3023173014323,525.9504973739246,304.3904658905749,209.51114991895196,BASE,威朗,6,1470.0
667.896728515625,679.9955906126244,281.278807120674,210.69297429514987,BASE,威然,6,1902.0
376.80971272786456,380.83497536882464,137.73211183582202,121.0309569789715,BASE,威霆,6,1868.0
80.69495137532552,82.90860496613445,2082.720725309281,820.6266241558527,BASE,威飒,6,59.0
3338.131388346354,3368.0121074917774,2352.6594777069713,1337.0352690305824,BASE,宋PLUS新能源,6,1498.0
7065.013346354167,7994.146727860544,84.65331567971113,58.22893182341103,BASE,宏光MINIEV,6,72799.0
3023.916259765625,3246.0923272623922,26.88168951010991,27.722004581643063,BASE,宝马3系,6,65448.0
958.0318603515625,1161.3928516498552,17.1954391455917,19.076066644905502,BASE,宝马X5,6,30133.0
206.63312784830728,242.26116952121413,23.022906244422213,19.539775683055062,BASE,宝马i3,6,6345.0
204.62628173828125,253.7811987253554,34.73290470370517,26.47170527015281,BASE,宝马iX1,6,4638.0
83.0862642923991,98.55908357873454,702.9671371623614,298.5135244038291,BASE,宝马iX3,6,167.0
1.6886283953984578,1.7032887048858216,,,BASE,小虎FEV,6,0.0
2.356959084669749,2.387124579354542,,,BASE,小鹏P5,6,0.0
2193.408447265625,2393.3738876664215,41.130839939131185,41.20366525859033,BASE,岚图梦想家,6,31940.0
4025.4720865885415,4727.8660161071375,27.21274108936713,30.17595267307752,BASE,帕萨特,6,80040.0
1221.5369059244792,1254.6029939406235,2440.5153598142083,209.40632672991072,BASE,帕萨特新能源,6,3500.0
391.6906229654948,525.7280426496552,24.119583038796698,28.311573759703272,BASE,库斯途,6,8301.0
22.666346232096355,23.4329804925545,1994.6924527486165,2266.6346232096357,BASE,护卫舰07,6,6.0
1137.5768025716145,1250.9216795267475,53.43420298935363,48.75677416550959,BASE,捷达VA3,6,13999.0
4141.800455729167,4618.479123921911,31.6062046540401,33.82488224200003,BASE,探岳,6,73469.0
11.781915187835693,13.359879561112928,695.5815128791027,321.3249596682462,BASE,探界者,6,22.0
141.97221883138022,157.09170097398967,30.697778368763746,27.407764253162203,BASE,揽境,6,3108.0
4713.5465087890625,5365.005433249335,47.719493640885574,50.02348778253568,BASE,新帝豪,6,56536.0
5704.2656656901045,6407.974921056893,50.04528081983868,52.127867545182724,BASE,星瑞,6,65657.0
7723.072672526042,8774.211182442557,57.55647682929352,59.98192460604791,BASE,星越L,6,77254.0
352.8612467447917,363.18565467441584,896.7507353238643,260.094285069871,BASE,星途ES,6,814.0
52.72011693318685,56.64718192557838,188.51346351008988,141.84784825072694,BASE,智跑,6,223.0
5626.236002604167,6025.317172878499,32.741841348787496,33.60117057246305,BASE,朗逸,6,100465.0
1186.4716796875,1219.390400489803,57.7824895559804,58.56709237453723,BASE,本田HR-V,6,12155.0
