version,series_name,WMAPE
NO-CONFIG,星瑞L,97.95711602688655
NO-CONFIG,星越L,22.23571529265475
NO-CONFIG,星越L 智擎,101.69486771086733
NO-CONFIG,星途ES,642.0332775069103
NO-CONFIG,朗逸,23.896872705979693
NO-CONFIG,本田UR-V,29.983571370442707
NO-CONFIG,本田XR-V,55.26667414484797
NO-CONFIG,极氪009,52.98126332678434
NO-CONFIG,极狐考拉,666.0693103730366
NO-CONFIG,林肯Z,38.85908751250313
NO-CONFIG,标致5008,40.49658623022881
NO-CONFIG,格瑞维亚,36.01040300945785
NO-CONFIG,欧诺S,30.98695948292603
NO-CONFIG,汉,134.23358805305574
NO-CONFIG,沃尔沃EM90,343.72091622188174
NO-CONFIG,沃尔沃S90,63.888510143998545
NO-CONFIG,沃尔沃S90新能源,696.434794681173
NO-CONFIG,海狮06EV,99.82897167317351
NO-CONFIG,海狮07EV,801.8863299241939
NO-CONFIG,海豹,853.6823175346216
NO-CONFIG,海豹07DM-i,291.4127793422965
NO-CONFIG,海马8S,
NO-CONFIG,海鸥,46.83404303432084
NO-CONFIG,深蓝L06,99.6190472720186
NO-CONFIG,深蓝L07,84.35205723381607
NO-CONFIG,深蓝SL03,306.0436546688988
NO-CONFIG,焕驰,952.1488285064697
NO-CONFIG,猛士917,
NO-CONFIG,理想MEGA,90.27414123985996
NO-CONFIG,瑞虎5x,28.049417648484486
NO-CONFIG,瑞虎8,24.22831018376957
NO-CONFIG,瑞虎9,59.40536894498254
NO-CONFIG,瑞风E3,41.53770778490149
NO-CONFIG,电动MINI ACEMAN,
NO-CONFIG,电动MINI COOPER,
NO-CONFIG,秦L,50.6645676561569
NO-CONFIG,秦PLUS,28.570374434136813
NO-CONFIG,红旗E-HS9,
NO-CONFIG,红旗H9,38.753495733421964
NO-CONFIG,红旗HS7 PHEV,378.86847792000606
NO-CONFIG,红旗国耀,315.65413841834436
NO-CONFIG,红旗天工05,49.59020429244567
NO-CONFIG,纳米01,32.23472383460683
NO-CONFIG,缤智,58.41372556608867
NO-CONFIG,缤越,48.58562966331809
NO-CONFIG,腾势D9,43.44186003706689
NO-CONFIG,艾瑞泽5,51.19483746646617
NO-CONFIG,荣威D5X DMH,1582.6025511089124
NO-CONFIG,荣威D7,58.74812924764989
NO-CONFIG,菱智,15.825585999974296
NO-CONFIG,蔚来ET5T,21.687149541700293
NO-CONFIG,蔚来ET9,105.41802035818854
NO-CONFIG,赛图斯,44.09903875852726
NO-CONFIG,赛那SIENNA,24.712935019487087
NO-CONFIG,起亚EV5,428.42063588544363
NO-CONFIG,起亚K3,74.59866219152134
NO-CONFIG,起亚K5凯酷,203.3688708989307
NO-CONFIG,轩逸,34.9941151045554
NO-CONFIG,迈腾,27.689748169594015
NO-CONFIG,途昂,22.88767470295166
NO-CONFIG,途胜L,42.011022319371925
NO-CONFIG,途观L,31.582796168529452
NO-CONFIG,途观L新能源,99.15063334076773
NO-CONFIG,速腾,32.36756380517726
NO-CONFIG,逸动,16.849707041243136
NO-CONFIG,铂智4X,59.576755099826386
NO-CONFIG,银河V900,95.8090773670365
NO-CONFIG,银河星耀6,99.28954354682477
NO-CONFIG,锋兰达,27.94461074125596
NO-CONFIG,锐界L,19.0417951520338
NO-CONFIG,长安CS75 PLUS,22.351978009528935
NO-CONFIG,长安Lumin,379.05927451959667
NO-CONFIG,长安UNI-K 智电iDD,4696.926743643625
NO-CONFIG,长安UNI-Z新能源,46.74115774126931
NO-CONFIG,长安启源A07,42.39253614488178
NO-CONFIG,长安启源Q05经典,
NO-CONFIG,长安欧尚520,76.64739245596319
NO-CONFIG,雅阁,48.07814114672285
NO-CONFIG,风云A9L,99.1896838222022
NO-CONFIG,风光330,787.4418324437635
NO-CONFIG,风光380,307.17909133742216
NO-CONFIG,马自达3 昂克赛拉,33.44223018202275
