series_id,series_name,brand,category,total_months,longest_run_months,interrupt_count,longest_gap_months,first_year,last_year
22374,昌河Q7,北汽昌河,SUV,54,54,0,0,2022,2026
22393,奕泽IZOA,丰田,SUV,54,54,0,0,2022,2026
22407,ENCINO昂希诺,现代,SUV,54,54,0,0,2022,2026
22411,圣达菲2,华泰新能源,轿车,54,54,0,0,2022,2026
22413,路盛S1,华泰新能源,轿车,54,54,0,0,2022,2026
22424,帝豪GSe,吉利汽车,SUV,54,54,0,0,2022,2026
22444,瑞虎3xe,奇瑞新能源,SUV,54,54,0,0,2022,2026
22483,威马EX5,威马汽车,SUV,54,54,0,0,2022,2026
22493,祺智PHEV,广汽集团,SUV,54,54,0,0,2022,2026
22513,沃尔沃S90新能源,沃尔沃,轿车,54,54,0,0,2022,2026
22543,奥迪Q2L,奥迪,SUV,54,54,0,0,2022,2026
22554,大通G50,大通,MPV,54,54,0,0,2022,2026
22633,帝豪GL新能源,吉利汽车,轿车,54,54,0,0,2022,2026
22634,Mattu,猎豹汽车,SUV,54,54,0,0,2022,2026
22635,骏派D80,一汽,SUV,54,54,0,0,2022,2026
22663,T-ROC探歌,大众,SUV,54,54,0,0,2022,2026
22674,瑞虎8,奇瑞,SUV,54,54,0,0,2022,2026
22675,广汽丰田ix4,广汽集团,SUV,54,54,0,0,2022,2026
22676,君马SEEK 5(赛克5),君马汽车,SUV,54,54,0,0,2022,2026
22679,缤瑞,吉利汽车,轿车,54,54,0,0,2022,2026
22683,传祺M6,广汽传祺,MPV,54,54,0,0,2022,2026
22723,江淮iEVA50,江淮,轿车,54,54,0,0,2022,2026
22734,逸动DT,长安,轿车,54,54,0,0,2022,2026
22764,众泰T300新能源,众泰,SUV,54,54,0,0,2022,2026
22795,北京EU5,北京汽车,轿车,54,54,0,0,2022,2026
22813,探岳,大众,SUV,54,54,0,0,2022,2026
22814,途观L新能源,大众,SUV,54,54,0,0,2022,2026
27464,玛奇朵DHT-PHEV,魏牌,SUV,54,54,0,0,2022,2026
27471,红旗H5 PHEV,红旗,轿车,54,54,0,0,2022,2026
27476,欧拉闪电猫,欧拉,轿车,54,54,0,0,2022,2026
30626,长安欧尚520,长安欧尚,轿车,54,54,0,0,2022,2026
30463,深蓝L07,深蓝汽车,轿车,54,54,0,0,2022,2026
30489,五菱星光S,五菱,SUV,54,54,0,0,2022,2026
30526,宋L DM-i,比亚迪,SUV,54,54,0,0,2022,2026
30534,海狮05DM-i,比亚迪,SUV,54,54,0,0,2022,2026
30535,MG ES5,MG名爵,SUV,54,54,0,0,2022,2026
30536,吉利星愿,吉利银河,轿车,54,54,0,0,2022,2026
30537,红旗HS3 PHEV,红旗,SUV,54,54,0,0,2022,2026
30547,宝马2系,宝马,轿车,54,54,0,0,2022,2026
30548,宝骏享境,宝骏,轿车,54,54,0,0,2022,2026
30566,高尔夫GTI,大众,轿车,54,54,0,0,2022,2026
30571,夏,比亚迪,MPV,54,54,0,0,2022,2026
30599,奥迪A5L Sportback,奥迪,轿车,54,54,0,0,2022,2026
30604,AION RT,埃安,轿车,54,54,0,0,2022,2026
